iid,pid,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec_o
15,4,30,10,20,10,10,20,7,7,7,9,9,20,20,20,20,10,10,7,8,9,7,8,0
15,5,30,10,20,10,10,20,7,7,7,9,9,20,5,25,25,10,15,6,3,6,10,8,0
15,6,30,10,20,10,10,20,7,7,7,9,9,10,25,20,25,5,15,5,7,8,9,5,0
15,7,30,10,20,10,10,20,7,7,7,9,9,15,15,25,20,15,10,6,6,5,7,7,0
15,8,30,10,20,10,10,20,7,7,7,9,9,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
15,9,30,10,20,10,10,20,7,7,7,9,9,20,10,20,30,10,10,7,6,10,7,7,1
15,10,30,10,20,10,10,20,7,7,7,9,9,15,15,15,40,10,5,6,8,10,6,9,0
16,1,50,0,30,10,0,10,6,6,8,8,6,15,20,20,15,15,15,6,8,8,8,7,0
16,2,50,0,30,10,0,10,6,6,8,8,6,45,5,25,20,0,5,7,5,10,8,3,0
16,3,50,0,30,10,0,10,6,6,8,8,6,35,10,35,10,10,0,8,9,8,9,8,0
16,4,50,0,30,10,0,10,6,6,8,8,6,20,20,20,20,10,10,7,8,9,7,8,0
16,5,50,0,30,10,0,10,6,6,8,8,6,20,5,25,25,10,15,6,3,6,10,8,1
16,6,50,0,30,10,0,10,6,6,8,8,6,10,25,20,25,5,15,5,7,8,9,5,0
16,7,50,0,30,10,0,10,6,6,8,8,6,15,15,25,20,15,10,6,6,5,7,7,0
16,8,50,0,30,10,0,10,6,6,8,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
16,9,50,0,30,10,0,10,6,6,8,8,6,20,10,20,30,10,10,7,6,10,7,7,1
16,10,50,0,30,10,0,10,6,6,8,8,6,15,15,15,40,10,5,6,8,10,6,9,0
17,1,35,15,25,10,5,10,7,7,6,8,4,15,20,20,15,15,15,6,8,8,8,7,1
17,2,35,15,25,10,5,10,7,7,6,8,4,45,5,25,20,0,5,7,5,10,8,3,1
17,3,35,15,25,10,5,10,7,7,6,8,4,35,10,35,10,10,0,8,9,8,9,8,0
17,4,35,15,25,10,5,10,7,7,6,8,4,20,20,20,20,10,10,7,8,9,7,8,0
17,5,35,15,25,10,5,10,7,7,6,8,4,20,5,25,25,10,15,6,3,6,10,8,1
17,6,35,15,25,10,5,10,7,7,6,8,4,10,25,20,25,5,15,5,7,8,9,5,1
17,7,35,15,25,10,5,10,7,7,6,8,4,15,15,25,20,15,10,6,6,5,7,7,1
17,8,35,15,25,10,5,10,7,7,6,8,4,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
17,9,35,15,25,10,5,10,7,7,6,8,4,20,10,20,30,10,10,7,6,10,7,7,1
17,10,35,15,25,10,5,10,7,7,6,8,4,15,15,15,40,10,5,6,8,10,6,9,1
18,1,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,15,20,20,15,15,15,6,8,8,8,7,0
18,2,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,45,5,25,20,0,5,7,5,10,8,3,0
18,3,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,35,10,35,10,10,0,8,9,8,9,8,0
18,4,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,20,20,20,20,10,10,7,8,9,7,8,0
18,5,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,20,5,25,25,10,15,6,3,6,10,8,1
18,6,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,10,25,20,25,5,15,5,7,8,9,5,0
18,7,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,15,15,25,20,15,10,6,6,5,7,7,0
18,8,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
18,9,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,20,10,20,30,10,10,7,6,10,7,7,1
18,10,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,15,15,15,40,10,5,6,8,10,6,9,0
19,1,50,0,25,10,0,15,10,6,10,10,10,15,20,20,15,15,15,6,8,8,8,7,1
19,2,50,0,25,10,0,15,10,6,10,10,10,45,5,25,20,0,5,7,5,10,8,3,1
19,3,50,0,25,10,0,15,10,6,10,10,10,35,10,35,10,10,0,8,9,8,9,8,0
19,4,50,0,25,10,0,15,10,6,10,10,10,20,20,20,20,10,10,7,8,9,7,8,1
19,5,50,0,25,10,0,15,10,6,10,10,10,20,5,25,25,10,15,6,3,6,10,8,1
19,6,50,0,25,10,0,15,10,6,10,10,10,10,25,20,25,5,15,5,7,8,9,5,1
19,7,50,0,25,10,0,15,10,6,10,10,10,15,15,25,20,15,10,6,6,5,7,7,1
19,8,50,0,25,10,0,15,10,6,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
19,9,50,0,25,10,0,15,10,6,10,10,10,20,10,20,30,10,10,7,6,10,7,7,1
19,10,50,0,25,10,0,15,10,6,10,10,10,15,15,15,40,10,5,6,8,10,6,9,1
20,1,100,0,0,0,0,0,7,7,10,10,10,15,20,20,15,15,15,6,8,8,8,7,1
20,2,100,0,0,0,0,0,7,7,10,10,10,45,5,25,20,0,5,7,5,10,8,3,1
20,3,100,0,0,0,0,0,7,7,10,10,10,35,10,35,10,10,0,8,9,8,9,8,0
20,4,100,0,0,0,0,0,7,7,10,10,10,20,20,20,20,10,10,7,8,9,7,8,1
20,5,100,0,0,0,0,0,7,7,10,10,10,20,5,25,25,10,15,6,3,6,10,8,1
20,6,100,0,0,0,0,0,7,7,10,10,10,10,25,20,25,5,15,5,7,8,9,5,1
20,7,100,0,0,0,0,0,7,7,10,10,10,15,15,25,20,15,10,6,6,5,7,7,1
20,8,100,0,0,0,0,0,7,7,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,1
20,9,100,0,0,0,0,0,7,7,10,10,10,20,10,20,30,10,10,7,6,10,7,7,1
20,10,100,0,0,0,0,0,7,7,10,10,10,15,15,15,40,10,5,6,8,10,6,9,1
40,21,25,20,25,20,10,0,3,10,8,9,5,12,18,20,16,16,18,5,9,7,9,10,0
40,22,25,20,25,20,10,0,3,10,8,9,5,20,20,20,10,10,20,7,8,7,8,7,0
40,23,25,20,25,20,10,0,3,10,8,9,5,10,20,40,10,10,10,5,8,6,7,8,1
40,24,25,20,25,20,10,0,3,10,8,9,5,10,20,20,15,20,15,7,9,9,8,8,0
40,25,25,20,25,20,10,0,3,10,8,9,5,20,20,15,15,15,15,7,9,7,8,6,0
40,26,25,20,25,20,10,0,3,10,8,9,5,20,20,20,15,15,10,7,8,8,8,8,0
40,27,25,20,25,20,10,0,3,10,8,9,5,17,10,18,20,25,10,6,6,7,7,7,0
40,29,25,20,25,20,10,0,3,10,8,9,5,20,22,18,15,15,10,6,9,8,7,8,0
40,30,25,20,25,20,10,0,3,10,8,9,5,10,20,20,20,20,10,7,8,9,8,8,0
40,31,25,20,25,20,10,0,3,10,8,9,5,35,10,20,20,10,5,8,8,9,8,9,0
40,32,25,20,25,20,10,0,3,10,8,9,5,50,0,50,0,0,0,7,5,9,9,7,0
40,33,25,20,25,20,10,0,3,10,8,9,5,30,20,30,10,0,10,6,8,6,8,8,1
40,34,25,20,25,20,10,0,3,10,8,9,5,30,5,30,15,15,5,7,7,7,7,8,0
40,35,25,20,25,20,10,0,3,10,8,9,5,20,23,23,22,7,5,8,9,9,9,7,1
40,36,25,20,25,20,10,0,3,10,8,9,5,20,25,20,15,15,5,8,7,8,8,6,0
40,37,25,20,25,20,10,0,3,10,8,9,5,10,10,30,25,10,15,7,8,7,9,5,0
40,38,25,20,25,20,10,0,3,10,8,9,5,50,10,20,10,10,0,8,2,7,8,8,0
40,39,25,20,25,20,10,0,3,10,8,9,5,20,20,20,15,15,10,6,9,6,8,7,1
41,21,30,20,10,30,0,10,5,7,5,8,5,12,18,20,16,16,18,5,9,7,9,10,0
41,22,30,20,10,30,0,10,5,7,5,8,5,20,20,20,10,10,20,7,8,7,8,7,0
41,23,30,20,10,30,0,10,5,7,5,8,5,10,20,40,10,10,10,5,8,6,7,8,0
41,24,30,20,10,30,0,10,5,7,5,8,5,10,20,20,15,20,15,7,9,9,8,8,0
41,25,30,20,10,30,0,10,5,7,5,8,5,20,20,15,15,15,15,7,9,7,8,6,0
41,26,30,20,10,30,0,10,5,7,5,8,5,20,20,20,15,15,10,7,8,8,8,8,0
41,27,30,20,10,30,0,10,5,7,5,8,5,17,10,18,20,25,10,6,6,7,7,7,0
41,29,30,20,10,30,0,10,5,7,5,8,5,20,22,18,15,15,10,6,9,8,7,8,0
41,30,30,20,10,30,0,10,5,7,5,8,5,10,20,20,20,20,10,7,8,9,8,8,0
41,31,30,20,10,30,0,10,5,7,5,8,5,35,10,20,20,10,5,8,8,9,8,9,0
41,32,30,20,10,30,0,10,5,7,5,8,5,50,0,50,0,0,0,7,5,9,9,7,0
41,33,30,20,10,30,0,10,5,7,5,8,5,30,20,30,10,0,10,6,8,6,8,8,0
41,34,30,20,10,30,0,10,5,7,5,8,5,30,5,30,15,15,5,7,7,7,7,8,0
41,35,30,20,10,30,0,10,5,7,5,8,5,20,23,23,22,7,5,8,9,9,9,7,0
41,36,30,20,10,30,0,10,5,7,5,8,5,20,25,20,15,15,5,8,7,8,8,6,0
41,37,30,20,10,30,0,10,5,7,5,8,5,10,10,30,25,10,15,7,8,7,9,5,0
41,38,30,20,10,30,0,10,5,7,5,8,5,50,10,20,10,10,0,8,2,7,8,8,0
41,39,30,20,10,30,0,10,5,7,5,8,5,20,20,20,15,15,10,6,9,6,8,7,0
42,21,20,25,20,15,10,10,6,9,6,8,4,12,18,20,16,16,18,5,9,7,9,10,1
42,22,20,25,20,15,10,10,6,9,6,8,4,20,20,20,10,10,20,7,8,7,8,7,0
42,23,20,25,20,15,10,10,6,9,6,8,4,10,20,40,10,10,10,5,8,6,7,8,1
42,24,20,25,20,15,10,10,6,9,6,8,4,10,20,20,15,20,15,7,9,9,8,8,0
42,25,20,25,20,15,10,10,6,9,6,8,4,20,20,15,15,15,15,7,9,7,8,6,0
42,26,20,25,20,15,10,10,6,9,6,8,4,20,20,20,15,15,10,7,8,8,8,8,0
42,27,20,25,20,15,10,10,6,9,6,8,4,17,10,18,20,25,10,6,6,7,7,7,0
42,29,20,25,20,15,10,10,6,9,6,8,4,20,22,18,15,15,10,6,9,8,7,8,0
42,30,20,25,20,15,10,10,6,9,6,8,4,10,20,20,20,20,10,7,8,9,8,8,0
42,31,20,25,20,15,10,10,6,9,6,8,4,35,10,20,20,10,5,8,8,9,8,9,0
42,32,20,25,20,15,10,10,6,9,6,8,4,50,0,50,0,0,0,7,5,9,9,7,0
42,33,20,25,20,15,10,10,6,9,6,8,4,30,20,30,10,0,10,6,8,6,8,8,0
42,34,20,25,20,15,10,10,6,9,6,8,4,30,5,30,15,15,5,7,7,7,7,8,0
42,35,20,25,20,15,10,10,6,9,6,8,4,20,23,23,22,7,5,8,9,9,9,7,0
42,36,20,25,20,15,10,10,6,9,6,8,4,20,25,20,15,15,5,8,7,8,8,6,0
42,37,20,25,20,15,10,10,6,9,6,8,4,10,10,30,25,10,15,7,8,7,9,5,1
42,38,20,25,20,15,10,10,6,9,6,8,4,50,10,20,10,10,0,8,2,7,8,8,0
42,39,20,25,20,15,10,10,6,9,6,8,4,20,20,20,15,15,10,6,9,6,8,7,1
43,21,25,35,30,10,0,0,3,8,3,7,2,12,18,20,16,16,18,5,9,7,9,10,0
43,22,25,35,30,10,0,0,3,8,3,7,2,20,20,20,10,10,20,7,8,7,8,7,0
43,23,25,35,30,10,0,0,3,8,3,7,2,10,20,40,10,10,10,5,8,6,7,8,1
43,24,25,35,30,10,0,0,3,8,3,7,2,10,20,20,15,20,15,7,9,9,8,8,0
43,25,25,35,30,10,0,0,3,8,3,7,2,20,20,15,15,15,15,7,9,7,8,6,0
43,26,25,35,30,10,0,0,3,8,3,7,2,20,20,20,15,15,10,7,8,8,8,8,0
43,27,25,35,30,10,0,0,3,8,3,7,2,17,10,18,20,25,10,6,6,7,7,7,0
43,29,25,35,30,10,0,0,3,8,3,7,2,20,22,18,15,15,10,6,9,8,7,8,0
43,30,25,35,30,10,0,0,3,8,3,7,2,10,20,20,20,20,10,7,8,9,8,8,0
43,31,25,35,30,10,0,0,3,8,3,7,2,35,10,20,20,10,5,8,8,9,8,9,0
43,32,25,35,30,10,0,0,3,8,3,7,2,50,0,50,0,0,0,7,5,9,9,7,0
43,33,25,35,30,10,0,0,3,8,3,7,2,30,20,30,10,0,10,6,8,6,8,8,1
43,34,25,35,30,10,0,0,3,8,3,7,2,30,5,30,15,15,5,7,7,7,7,8,0
43,35,25,35,30,10,0,0,3,8,3,7,2,20,23,23,22,7,5,8,9,9,9,7,0
43,36,25,35,30,10,0,0,3,8,3,7,2,20,25,20,15,15,5,8,7,8,8,6,0
43,37,25,35,30,10,0,0,3,8,3,7,2,10,10,30,25,10,15,7,8,7,9,5,0
43,38,25,35,30,10,0,0,3,8,3,7,2,50,10,20,10,10,0,8,2,7,8,8,0
43,39,25,35,30,10,0,0,3,8,3,7,2,20,20,20,15,15,10,6,9,6,8,7,1
44,21,25,15,25,25,15,15,7,9,8,9,9,12,18,20,16,16,18,5,9,7,9,10,0
44,22,25,15,25,25,15,15,7,9,8,9,9,20,20,20,10,10,20,7,8,7,8,7,1
44,23,25,15,25,25,15,15,7,9,8,9,9,10,20,40,10,10,10,5,8,6,7,8,1
44,24,25,15,25,25,15,15,7,9,8,9,9,10,20,20,15,20,15,7,9,9,8,8,0
44,25,25,15,25,25,15,15,7,9,8,9,9,20,20,15,15,15,15,7,9,7,8,6,0
44,26,25,15,25,25,15,15,7,9,8,9,9,20,20,20,15,15,10,7,8,8,8,8,0
44,27,25,15,25,25,15,15,7,9,8,9,9,17,10,18,20,25,10,6,6,7,7,7,0
44,29,25,15,25,25,15,15,7,9,8,9,9,20,22,18,15,15,10,6,9,8,7,8,1
44,30,25,15,25,25,15,15,7,9,8,9,9,10,20,20,20,20,10,7,8,9,8,8,0
44,31,25,15,25,25,15,15,7,9,8,9,9,35,10,20,20,10,5,8,8,9,8,9,0
44,32,25,15,25,25,15,15,7,9,8,9,9,50,0,50,0,0,0,7,5,9,9,7,0
44,33,25,15,25,25,15,15,7,9,8,9,9,30,20,30,10,0,10,6,8,6,8,8,0
44,34,25,15,25,25,15,15,7,9,8,9,9,30,5,30,15,15,5,7,7,7,7,8,0
44,35,25,15,25,25,15,15,7,9,8,9,9,20,23,23,22,7,5,8,9,9,9,7,0
44,36,25,15,25,25,15,15,7,9,8,9,9,20,25,20,15,15,5,8,7,8,8,6,0
44,37,25,15,25,25,15,15,7,9,8,9,9,10,10,30,25,10,15,7,8,7,9,5,1
44,38,25,15,25,25,15,15,7,9,8,9,9,50,10,20,10,10,0,8,2,7,8,8,0
44,39,25,15,25,25,15,15,7,9,8,9,9,20,20,20,15,15,10,6,9,6,8,7,0
45,21,25,15,25,15,0,20,7,8,6,8,7,12,18,20,16,16,18,5,9,7,9,10,0
45,22,25,15,25,15,0,20,7,8,6,8,7,20,20,20,10,10,20,7,8,7,8,7,1
45,23,25,15,25,15,0,20,7,8,6,8,7,10,20,40,10,10,10,5,8,6,7,8,1
45,24,25,15,25,15,0,20,7,8,6,8,7,10,20,20,15,20,15,7,9,9,8,8,0
45,25,25,15,25,15,0,20,7,8,6,8,7,20,20,15,15,15,15,7,9,7,8,6,0
45,26,25,15,25,15,0,20,7,8,6,8,7,20,20,20,15,15,10,7,8,8,8,8,0
45,27,25,15,25,15,0,20,7,8,6,8,7,17,10,18,20,25,10,6,6,7,7,7,0
45,29,25,15,25,15,0,20,7,8,6,8,7,20,22,18,15,15,10,6,9,8,7,8,1
45,30,25,15,25,15,0,20,7,8,6,8,7,10,20,20,20,20,10,7,8,9,8,8,0
45,31,25,15,25,15,0,20,7,8,6,8,7,35,10,20,20,10,5,8,8,9,8,9,0
45,32,25,15,25,15,0,20,7,8,6,8,7,50,0,50,0,0,0,7,5,9,9,7,0
45,33,25,15,25,15,0,20,7,8,6,8,7,30,20,30,10,0,10,6,8,6,8,8,0
45,34,25,15,25,15,0,20,7,8,6,8,7,30,5,30,15,15,5,7,7,7,7,8,0
45,35,25,15,25,15,0,20,7,8,6,8,7,20,23,23,22,7,5,8,9,9,9,7,1
45,36,25,15,25,15,0,20,7,8,6,8,7,20,25,20,15,15,5,8,7,8,8,6,0
45,37,25,15,25,15,0,20,7,8,6,8,7,10,10,30,25,10,15,7,8,7,9,5,0
45,38,25,15,25,15,0,20,7,8,6,8,7,50,10,20,10,10,0,8,2,7,8,8,0
45,39,25,15,25,15,0,20,7,8,6,8,7,20,20,20,15,15,10,6,9,6,8,7,0
46,21,20,35,20,10,10,5,7,8,5,7,7,12,18,20,16,16,18,5,9,7,9,10,0
46,22,20,35,20,10,10,5,7,8,5,7,7,20,20,20,10,10,20,7,8,7,8,7,1
46,23,20,35,20,10,10,5,7,8,5,7,7,10,20,40,10,10,10,5,8,6,7,8,1
46,24,20,35,20,10,10,5,7,8,5,7,7,10,20,20,15,20,15,7,9,9,8,8,1
46,25,20,35,20,10,10,5,7,8,5,7,7,20,20,15,15,15,15,7,9,7,8,6,0
46,26,20,35,20,10,10,5,7,8,5,7,7,20,20,20,15,15,10,7,8,8,8,8,0
46,27,20,35,20,10,10,5,7,8,5,7,7,17,10,18,20,25,10,6,6,7,7,7,1
46,29,20,35,20,10,10,5,7,8,5,7,7,20,22,18,15,15,10,6,9,8,7,8,1
46,30,20,35,20,10,10,5,7,8,5,7,7,10,20,20,20,20,10,7,8,9,8,8,0
46,31,20,35,20,10,10,5,7,8,5,7,7,35,10,20,20,10,5,8,8,9,8,9,0
46,32,20,35,20,10,10,5,7,8,5,7,7,50,0,50,0,0,0,7,5,9,9,7,0
46,33,20,35,20,10,10,5,7,8,5,7,7,30,20,30,10,0,10,6,8,6,8,8,0
46,34,20,35,20,10,10,5,7,8,5,7,7,30,5,30,15,15,5,7,7,7,7,8,1
46,35,20,35,20,10,10,5,7,8,5,7,7,20,23,23,22,7,5,8,9,9,9,7,1
46,36,20,35,20,10,10,5,7,8,5,7,7,20,25,20,15,15,5,8,7,8,8,6,0
46,37,20,35,20,10,10,5,7,8,5,7,7,10,10,30,25,10,15,7,8,7,9,5,1
46,38,20,35,20,10,10,5,7,8,5,7,7,50,10,20,10,10,0,8,2,7,8,8,0
46,39,20,35,20,10,10,5,7,8,5,7,7,20,20,20,15,15,10,6,9,6,8,7,0
47,21,20,20,25,25,5,5,8,7,9,9,3,12,18,20,16,16,18,5,9,7,9,10,0
47,22,20,20,25,25,5,5,8,7,9,9,3,20,20,20,10,10,20,7,8,7,8,7,0
47,23,20,20,25,25,5,5,8,7,9,9,3,10,20,40,10,10,10,5,8,6,7,8,0
47,24,20,20,25,25,5,5,8,7,9,9,3,10,20,20,15,20,15,7,9,9,8,8,0
47,25,20,20,25,25,5,5,8,7,9,9,3,20,20,15,15,15,15,7,9,7,8,6,0
47,26,20,20,25,25,5,5,8,7,9,9,3,20,20,20,15,15,10,7,8,8,8,8,0
47,27,20,20,25,25,5,5,8,7,9,9,3,17,10,18,20,25,10,6,6,7,7,7,0
47,29,20,20,25,25,5,5,8,7,9,9,3,20,22,18,15,15,10,6,9,8,7,8,0
47,30,20,20,25,25,5,5,8,7,9,9,3,10,20,20,20,20,10,7,8,9,8,8,0
47,31,20,20,25,25,5,5,8,7,9,9,3,35,10,20,20,10,5,8,8,9,8,9,0
47,32,20,20,25,25,5,5,8,7,9,9,3,50,0,50,0,0,0,7,5,9,9,7,0
47,33,20,20,25,25,5,5,8,7,9,9,3,30,20,30,10,0,10,6,8,6,8,8,0
47,34,20,20,25,25,5,5,8,7,9,9,3,30,5,30,15,15,5,7,7,7,7,8,0
47,35,20,20,25,25,5,5,8,7,9,9,3,20,23,23,22,7,5,8,9,9,9,7,0
47,36,20,20,25,25,5,5,8,7,9,9,3,20,25,20,15,15,5,8,7,8,8,6,0
47,37,20,20,25,25,5,5,8,7,9,9,3,10,10,30,25,10,15,7,8,7,9,5,0
47,38,20,20,25,25,5,5,8,7,9,9,3,50,10,20,10,10,0,8,2,7,8,8,0
47,39,20,20,25,25,5,5,8,7,9,9,3,20,20,20,15,15,10,6,9,6,8,7,1
48,21,30,15,25,25,5,0,7,9,6,7,6,12,18,20,16,16,18,5,9,7,9,10,0
48,22,30,15,25,25,5,0,7,9,6,7,6,20,20,20,10,10,20,7,8,7,8,7,1
48,23,30,15,25,25,5,0,7,9,6,7,6,10,20,40,10,10,10,5,8,6,7,8,0
48,24,30,15,25,25,5,0,7,9,6,7,6,10,20,20,15,20,15,7,9,9,8,8,0
48,25,30,15,25,25,5,0,7,9,6,7,6,20,20,15,15,15,15,7,9,7,8,6,0
48,26,30,15,25,25,5,0,7,9,6,7,6,20,20,20,15,15,10,7,8,8,8,8,0
48,27,30,15,25,25,5,0,7,9,6,7,6,17,10,18,20,25,10,6,6,7,7,7,0
48,29,30,15,25,25,5,0,7,9,6,7,6,20,22,18,15,15,10,6,9,8,7,8,1
48,30,30,15,25,25,5,0,7,9,6,7,6,10,20,20,20,20,10,7,8,9,8,8,0
48,31,30,15,25,25,5,0,7,9,6,7,6,35,10,20,20,10,5,8,8,9,8,9,1
48,32,30,15,25,25,5,0,7,9,6,7,6,50,0,50,0,0,0,7,5,9,9,7,0
48,33,30,15,25,25,5,0,7,9,6,7,6,30,20,30,10,0,10,6,8,6,8,8,1
48,34,30,15,25,25,5,0,7,9,6,7,6,30,5,30,15,15,5,7,7,7,7,8,0
48,35,30,15,25,25,5,0,7,9,6,7,6,20,23,23,22,7,5,8,9,9,9,7,1
48,36,30,15,25,25,5,0,7,9,6,7,6,20,25,20,15,15,5,8,7,8,8,6,0
48,37,30,15,25,25,5,0,7,9,6,7,6,10,10,30,25,10,15,7,8,7,9,5,1
48,38,30,15,25,25,5,0,7,9,6,7,6,50,10,20,10,10,0,8,2,7,8,8,1
48,39,30,15,25,25,5,0,7,9,6,7,6,20,20,20,15,15,10,6,9,6,8,7,1
49,21,20,20,20,20,5,15,7,10,10,10,8,12,18,20,16,16,18,5,9,7,9,10,1
49,22,20,20,20,20,5,15,7,10,10,10,8,20,20,20,10,10,20,7,8,7,8,7,0
49,23,20,20,20,20,5,15,7,10,10,10,8,10,20,40,10,10,10,5,8,6,7,8,1
49,24,20,20,20,20,5,15,7,10,10,10,8,10,20,20,15,20,15,7,9,9,8,8,0
49,25,20,20,20,20,5,15,7,10,10,10,8,20,20,15,15,15,15,7,9,7,8,6,0
49,26,20,20,20,20,5,15,7,10,10,10,8,20,20,20,15,15,10,7,8,8,8,8,0
49,27,20,20,20,20,5,15,7,10,10,10,8,17,10,18,20,25,10,6,6,7,7,7,0
